"","ID","b08Jan","b08Feb","b08Mar","b08Apr","b08May","b08Jun","b08Jul","b08Aug","b08Sep","b08Oct","b08Nov","b08Dec","b08_pen","n","specie"
"1",1,0.196309089660645,0.183680042624474,0.183230310678482,0.174257889389992,0.192888364195824,0.213552057743073,0.233908995985985,0.240142852067947,0.225799024105072,0.215826794505119,0.206334978342056,0.192845553159714,0.000234065635595471,42,"olive"
"2",2,0.175770699977875,0.163838431239128,0.167954653501511,0.16738161444664,0.185984626412392,0.207066267728806,0.23017917573452,0.236336603760719,0.224579736590385,0.211217358708382,0.197537586092949,0.173739537596703,0.000198375928448513,42,"olive"
"3",3,0.1973956823349,0.186389490962029,0.184645667672157,0.178065225481987,0.196485698223114,0.213563144207001,0.232306212186813,0.238298043608665,0.231725364923477,0.219163060188293,0.207124784588814,0.187032341957092,0.000305104273138568,42,"olive"
"4",4,0.172739416360855,0.161641702055931,0.162070736289024,0.156826168298721,0.17524079978466,0.195974707603455,0.216748133301735,0.221438005566597,0.210945352911949,0.201017379760742,0.190671667456627,0.168552443385124,0.000168589438544586,42,"olive"
"5",5,0.191312849521637,0.177730947732925,0.180725648999214,0.177839204668999,0.194862067699432,0.217570230364799,0.241977199912071,0.247257947921753,0.239516094326973,0.223274260759354,0.208006873726845,0.190376833081245,0.000260484230238944,42,"olive"
"6",6,0.17740985751152,0.166435122489929,0.163148805499077,0.152160584926605,0.168898642063141,0.191120848059654,0.211107328534126,0.221613019704819,0.215410321950912,0.201775997877121,0.186347857117653,0.160202160477638,0.000187085024663247,42,"olive"
"7",7,0.179677084088326,0.16835118830204,0.166427507996559,0.16141052544117,0.178458273410797,0.196762159466743,0.220321878790855,0.227343931794167,0.220829144120216,0.207867860794067,0.192546024918556,0.167502656579018,0.000209044897928834,42,"olive"
"8",8,0.186800390481949,0.173487901687622,0.177095666527748,0.17184890806675,0.188029736280441,0.207648783922195,0.231232658028603,0.244250148534775,0.23953939974308,0.226847395300865,0.214355692267418,0.197547659277916,0.000259775697486475,42,"olive"
"9",9,0.183271989226341,0.168981865048409,0.166486233472824,0.16066612303257,0.179933026432991,0.201447933912277,0.222942903637886,0.235286802053452,0.230207741260529,0.216956332325935,0.201303213834763,0.18396469950676,0.000230329591431655,42,"olive"
"10",10,0.189997509121895,0.177623271942139,0.179758280515671,0.174724087119102,0.192904353141785,0.216384649276733,0.24162445962429,0.251928478479385,0.245057508349419,0.227158725261688,0.209018900990486,0.186051189899445,0.000272867502644658,42,"olive"
"11",11,0.194935202598572,0.181524410843849,0.184400171041489,0.180953204631805,0.194353669881821,0.215589001774788,0.242164000868797,0.250047504901886,0.244727283716202,0.229562342166901,0.216989576816559,0.198492541909218,0.000346975022694096,42,"olive"
"12",12,0.187215849757195,0.17395393550396,0.178204327821732,0.172528281807899,0.191172406077385,0.217191442847252,0.244183376431465,0.249013409018517,0.240166410803795,0.227872923016548,0.215432032942772,0.199416294693947,0.000424240162828937,42,"olive"
"13",13,0.210986316204071,0.203504711389542,0.198743179440498,0.193208426237106,0.216607883572578,0.23470513522625,0.254555076360703,0.25986185669899,0.253937393426895,0.240682035684586,0.230551704764366,0.218549698591232,0.000286643829895183,42,"olive"
"14",14,0.215012058615685,0.216124877333641,0.207880258560181,0.20407335460186,0.227226406335831,0.244531914591789,0.262871980667114,0.269428312778473,0.263513714075089,0.251810997724533,0.240386545658112,0.225146159529686,0.00041130292811431,42,"olive"
"15",15,0.204933330416679,0.203090265393257,0.196871429681778,0.194543913006783,0.216271728277206,0.238717138767242,0.259433627128601,0.263599216938019,0.260132730007172,0.246372312307358,0.238347783684731,0.221821188926697,0.000365125975804403,42,"olive"
"16",16,0.198515862226486,0.196084767580032,0.191725835204124,0.190675109624863,0.212726384401321,0.229219183325768,0.242108598351479,0.242608606815338,0.237256273627281,0.225916340947151,0.219025582075119,0.206410244107246,0.000228484423132613,42,"olive"
"17",17,0.189778968691826,0.179215833544731,0.179774612188339,0.179565951228142,0.206840664148331,0.228648647665977,0.247379049658775,0.253545790910721,0.243341743946075,0.229342952370644,0.216816633939743,0.202013403177261,0.000275305414106697,42,"olive"
"18",18,0.205008894205093,0.20307070016861,0.201630607247353,0.197919920086861,0.220132380723953,0.239983379840851,0.259739339351654,0.264332979917526,0.258578717708588,0.245913073420525,0.236840784549713,0.221394971013069,0.000283021508948877,42,"olive"
"19",19,0.175261199474335,0.16941887140274,0.169806778430939,0.165276169776917,0.188098415732384,0.217730268836021,0.243357539176941,0.245748803019524,0.232758522033691,0.218010902404785,0.203082799911499,0.185163408517838,0.000185735218110494,42,"olive"
"20",20,0.179416924715042,0.175385743379593,0.183172509074211,0.179497212171555,0.201456919312477,0.227237716317177,0.256688833236694,0.257453292608261,0.244982585310936,0.228086590766907,0.217638820409775,0.19675475358963,0.000229648634558544,42,"olive"
"21",21,0.184936627745628,0.176948398351669,0.176656886935234,0.172945126891136,0.192360132932663,0.2148467451334,0.239115670323372,0.243065148591995,0.234339356422424,0.218105435371399,0.201046615839005,0.17829056084156,0.000293703400529921,42,"olive"
"22",22,0.18190336227417,0.176820650696754,0.180654719471931,0.174536228179932,0.19030649960041,0.215015515685081,0.23986528813839,0.244081020355225,0.235506042838097,0.21829928457737,0.206353724002838,0.183810263872147,0.000196879176655784,42,"olive"
"23",23,0.169013172388077,0.163180008530617,0.170082122087479,0.168437331914902,0.18918439745903,0.213630974292755,0.24254497885704,0.246492087841034,0.234835535287857,0.218138068914413,0.203718855977058,0.18004398047924,0.000250835379119962,42,"olive"
"24",24,0.173662409186363,0.170980274677277,0.173821121454239,0.170533746480942,0.187358006834984,0.211824595928192,0.240625903010368,0.246754094958305,0.234700933098793,0.217050611972809,0.197384640574455,0.171360433101654,0.000236623134696856,42,"olive"
"25",25,0.175798773765564,0.172230407595634,0.177568554878235,0.173250138759613,0.197226300835609,0.224738717079163,0.254752427339554,0.249139353632927,0.238801822066307,0.220749005675316,0.200115323066711,0.173271104693413,0.000232572696404532,42,"olive"
"26",26,0.199604332447052,0.189240664243698,0.191737920045853,0.186355754733086,0.203264594078064,0.220210000872612,0.241755753755569,0.245630294084549,0.240824490785599,0.229525238275528,0.222687661647797,0.206928625702858,0.000213755600270815,42,"olive"
"27",27,0.198892131447792,0.193618759512901,0.192439198493958,0.186823025345802,0.20511457324028,0.225060477852821,0.243674099445343,0.247756004333496,0.243485316634178,0.234602615237236,0.224476262927055,0.210969537496567,0.000193767278688028,42,"olive"
"28",28,0.210398063063622,0.202913135290146,0.203873574733734,0.196236148476601,0.219494923949242,0.238001137971878,0.25590443611145,0.260575026273727,0.252019166946411,0.237477943301201,0.225596085190773,0.20793890953064,0.000274118792731315,42,"olive"
"29",29,0.21502785384655,0.208093628287315,0.210233628749847,0.205123692750931,0.224034339189529,0.24554468691349,0.267210364341736,0.271581828594208,0.262304723262787,0.246766343712807,0.231282413005829,0.212530270218849,0.000267964584054425,42,"olive"
"30",30,0.222995743155479,0.214845716953278,0.216158449649811,0.205811604857445,0.223146393895149,0.242287218570709,0.25995597243309,0.262091189622879,0.253530859947205,0.241168320178986,0.230281129479408,0.216597706079483,0.000254915648838505,42,"olive"
"31",31,0.222183421254158,0.219215884804726,0.212978646159172,0.20651213824749,0.224673971533775,0.241919741034508,0.258796900510788,0.26061087846756,0.251066923141479,0.239533066749573,0.22986501455307,0.213204815983772,0.000230231453315355,42,"olive"
"32",32,0.217612490057945,0.212178945541382,0.217277228832245,0.211554408073425,0.228198289871216,0.244337022304535,0.262671262025833,0.264324933290482,0.256797850131989,0.245503976941109,0.231720566749573,0.21305276453495,0.000303253240417689,42,"olive"
"33",33,0.216000139713287,0.206968888640404,0.211704805493355,0.209469720721245,0.226383894681931,0.24566051363945,0.265992820262909,0.270474582910538,0.26147598028183,0.247620180249214,0.232680022716522,0.21177564561367,0.000296518323011696,42,"olive"
"34",34,0.213708773255348,0.202320411801338,0.205582350492477,0.20783643424511,0.225945070385933,0.245568364858627,0.264135420322418,0.272631347179413,0.261736482381821,0.244913697242737,0.23299552500248,0.215320929884911,0.000233646089327522,42,"olive"
"35",35,0.213158845901489,0.203310161828995,0.211742356419563,0.211312875151634,0.22951066493988,0.249300092458725,0.265646874904633,0.267227530479431,0.258342206478119,0.244811072945595,0.231659755110741,0.215178355574608,0.000344755331752822,42,"olive"
"36",36,0.223212227225304,0.213585168123245,0.227023467421532,0.228510648012161,0.245418891310692,0.267304688692093,0.286828726530075,0.288809210062027,0.281347811222076,0.262612044811249,0.244625642895699,0.220129996538162,0.000309223541989923,42,"olive"
"37",37,0.219750359654427,0.212051048874855,0.219527259469032,0.213966816663742,0.231263637542725,0.247001633048058,0.263816148042679,0.268881291151047,0.264604359865189,0.252702265977859,0.237623482942581,0.21696013212204,0.000320886087138206,42,"olive"
"38",38,0.207799792289734,0.203231975436211,0.201027929782867,0.200082287192345,0.226364716887474,0.245592996478081,0.267290949821472,0.271472811698914,0.263897031545639,0.247943833470345,0.229704663157463,0.20812027156353,0.000263407884631306,42,"olive"
"39",39,0.20376917719841,0.195074155926704,0.189604356884956,0.186949819326401,0.209432005882263,0.230960622429848,0.248216390609741,0.249474301934242,0.24213907122612,0.230926185846329,0.220101699233055,0.203290954232216,0.000236319174291566,42,"olive"
"40",40,0.207423970103264,0.199522480368614,0.195187941193581,0.194757923483849,0.222531542181969,0.247136279940605,0.270051598548889,0.273539543151855,0.264978885650635,0.251197338104248,0.233251914381981,0.211336076259613,0.000349046313203871,42,"olive"
"41",41,0.218436479568481,0.211261034011841,0.213319674134254,0.212807893753052,0.234913513064384,0.258139610290527,0.280165165662766,0.285311967134476,0.274367600679398,0.256019741296768,0.236421883106232,0.213058441877365,0.00036609370727092,42,"olive"
