,id,id_test,id_train,specie_test,specie_train,score,score_sum,score_norm,score_norm_mean
0,1,1322,1305,0,0,0.20596334164692712,0.6522281834103221,0.3157841793496279,0.3333333333333333
1,2,1327,1319,0,0,0.1385436914165517,0.48151273575475345,0.287725912793126,0.3333333333333333
2,3,1597,1601,0,0,0.27834544817285134,0.8729599899291297,0.3188524690523887,0.3333333333333333
3,4,1598,1596,0,0,0.3052705313604258,0.9401406003637374,0.3247073163762076,0.3333333333333333
4,5,1130,1137,0,0,0.31907216817550965,1.0131748765290993,0.31492309527904644,0.3333333333333333
5,6,1302,1324,0,0,0.20494156414383868,0.6753397106612107,0.3034644059997372,0.3333333333333333
6,7,1331,1330,0,0,0.17254963632125697,0.6549481231180331,0.2634554252935244,0.3333333333333333
7,8,761,768,0,0,0.15078477253134592,0.5188481027282112,0.29061448184639826,0.3333333333333333
8,9,744,774,0,0,0.17072844440761098,0.5618215828482098,0.3038837410661341,0.3333333333333333
9,10,1306,1308,0,0,0.18380376728210163,0.6418835299529801,0.286350651956385,0.3333333333333333
10,11,1128,1126,0,0,0.22664622543899007,0.6925052645113543,0.3272844800666118,0.3333333333333333
11,12,896,898,0,0,0.4254982807780615,1.5545199419960452,0.2737168364863241,0.3333333333333333
12,13,1124,1123,0,0,0.253302890887702,0.9145505888457424,0.2769697969440887,0.3333333333333333
13,14,1329,1316,0,0,0.16488906028608744,0.6088833422069988,0.2708056681078179,0.3333333333333333
14,15,1603,1604,0,0,0.1633325864329337,0.6173415219610228,0.264574114363955,0.3333333333333333
15,16,1356,778,0,0,0.41330823951619644,1.3146990104992684,0.31437480078367064,0.3333333333333333
16,17,1311,1313,0,0,0.2265347146423052,0.7134884853243975,0.31750297208974304,0.3333333333333333
17,18,745,774,0,0,0.2659294112758949,0.8448575833299579,0.3147624126515493,0.3333333333333333
18,19,1315,1316,0,0,0.17844068036646388,0.5500369158338594,0.3244158259740561,0.3333333333333333
19,20,773,750,0,0,0.12837078257510007,0.5440669220562029,0.2359466774600923,0.3333333333333333
20,21,1348,1330,0,0,0.2177234302286899,0.7044333665614938,0.30907597590308583,0.3333333333333333
21,22,770,752,0,0,0.1809015881187315,0.5684820173892784,0.3182186640652449,0.3333333333333333
22,23,899,897,0,0,0.45159383248540885,1.3910190749704683,0.32464963321584667,0.3333333333333333
23,24,746,759,0,0,0.21034867713607552,0.8293440926281095,0.25363257423043956,0.3333333333333333
24,25,1326,1297,0,0,0.3230193337652639,1.0273111706171763,0.3144318323446284,0.3302404299997238
25,26,1355,1303,0,0,0.21357428697991176,0.7414102791650139,0.2880649122108773,0.3333333333333333
26,27,749,766,0,0,0.1947576399698222,0.6350959588825564,0.30665860370532966,0.3333333333333333
27,28,1342,1332,0,0,0.1592473514621052,0.600968499101657,0.2649845236483313,0.3333333333333333
28,29,1309,1313,0,0,0.15072877982802657,0.4901509140428038,0.3075150438561944,0.3333333333333333
29,30,1307,1308,0,0,0.17651937036569915,0.5958580439074224,0.2962440000107219,0.3333333333333333
30,31,1564,1052,1,1,0.29200104180071934,0.979869415289955,0.2979999551412805,0.3333333333333333
31,32,1041,1045,1,1,0.2138307236024541,0.7314542409872744,0.29233643284894734,0.3333333333333333
32,33,2142,1962,1,1,0.4337470004143009,1.4640894833074671,0.29625716553501913,0.3333333333333333
33,34,1690,1704,1,1,0.20030811084052186,0.6559732492549614,0.3053601820928323,0.3333333333333333
34,35,2139,2135,1,1,0.3725186485479214,1.1953745812982786,0.3116334029316019,0.3333333333333333
